Countries,Year,Independence,HardWork,Unselfishness,Religious,Imagination,Respect,Saving,Determination,Obedience
Argentina,1998,458,599,177,374,278,794,172,307,341
Australia,1998,1084,735,814,438,540,1653,387,745,598
Armenia,1998,640,1671,612,247,314,969,764,1145,359
Brazil,1998,,,,,,,,,
China,1998,752,1090,423,50,332,645,933,544,439
Colombia,1998,1630,1082,2250,2548,1136,4117,1513,590,2570
Cyprus,1998,,,,,,,,,
Estonia,1998,549,889,172,51,88,609,310,500,276
Germany,1998,,,,,,,,,
Ghana,1998,,,,,,,,,
India,1998,763,1461,460,735,220,1052,854,588,1426
Japan,1998,637,257,398,61,273,614,459,648,66
Jordan,1998,,,,,,,,,
South Korea,1998,746,777,133,207,98,585,828,445,180
Mexico,1998,601,500,578,658,418,865,697,600,753
Morocco,1998,,,,,,,,,
Netherlands,1998,,,,,,,,,
New Zealand,1998,645,446,393,189,334,936,302,472,263
Nigeria,1998,403,1653,293,1438,121,1267,195,777,1425
Peru,1998,252,759,189,625,225,763,231,293,607
Poland,1998,371,184,160,,127,940,655,,561
Russia,1998,567,1850,435,192,121,1417,1121,844,694
South Africa,1998,917,1717,657,1794,311,2055,843,873,1464
Zimbabwe,1998,,,,,,,,,
Spain,1998,300,779,173,263,263,915,231,257,530
Sweden,1998,612,67,239,48,395,912,425,319,160
Turkey,1998,312,1322,374,970,422,1118,620,357,681
Ukraine,1998,946,2341,528,574,314,1720,1374,1184,1075
Egypt,1998,,,,,,,,,
United States,1998,698,809,555,832,409,1157,412,640,580
Argentina,2004,465,728,163,557,301,901,191,284,475
Australia,2004,,,,,,,,,
Armenia,2004,,,,,,,,,
Brazil,2004,,,,,,,,,
China,2004,741,858,370,,353,726,572,160,148
Colombia,2004,,,,,,,,,
Cyprus,2004,,,,,,,,,
Estonia,2004,218,821,165,60,107,712,446,496,285
Germany,2004,1425,456,145,272,597,1479,748,945,240
Ghana,2004,,,,,,,,,
India,2004,1125,1699,732,933,562,1265,1240,928,1115
Japan,2004,1114,369,725,89,470,970,655,940,59
Jordan,2004,273,548,387,1027,66,823,237,207,566
South Korea,2004,928,859,176,254,401,776,810,509,158
Mexico,2004,650,462,760,815,374,1084,604,505,914
Morocco,2004,419,919,111,1115,84,930,445,200,718
Netherlands,2004,533,145,280,95,320,913,216,345,256
New Zealand,2004,,,,,,,,,
Nigeria,2004,525,1622,471,1369,220,1195,208,463,1466
Peru,2004,579,890,755,834,344,1090,352,503,916
Poland,2004,242,934,133,466,141,872,417,379,354
Russia,2004,769,2257,513,215,174,1674,1280,1009,841
South Africa,2004,1874,2258,876,1843,600,2223,1114,1257,1559
Zimbabwe,2004,263,855,330,743,111,784,206,351,683
