Year,CC,Countries,Independence,HardWork,Unselfishness,Religious,Imagination,Respect,Saving,Determination,Obedience,fillKey
1998,ARG,Argentina,458,599,177,374,278,794,172,307,341,isThere
1998,AUS,Australia,1084,735,814,438,540,1653,387,745,598,isThere
1998,ARM,Armenia,640,1671,612,247,314,969,764,1145,359,isThere
1998,BRA,Brazil,,,,,,,,,,isThere
1998,CHN,China,752,1090,423,50,332,645,933,544,439,isThere
1998,COL,Colombia,1630,1082,2250,2548,1136,4117,1513,590,2570,isThere
1998,CYP,Cyprus,,,,,,,,,,isThere
1998,EST,Estonia,549,889,172,51,88,609,310,500,276,isThere
1998,DEU,Germany,,,,,,,,,,isThere
1998,GHA,Ghana,,,,,,,,,,isThere
1998,IND,India,763,1461,460,735,220,1052,854,588,1426,isThere
1998,JPN,Japan,637,257,398,61,273,614,459,648,66,isThere
1998,JOR,Jordan,,,,,,,,,,isThere
1998,KOR,South Korea,746,777,133,207,98,585,828,445,180,isThere
1998,MEX,Mexico,601,500,578,658,418,865,697,600,753,isThere
1998,MAR,Morocco,,,,,,,,,,isThere
1998,NLD,Netherlands,,,,,,,,,,isThere
1998,NZL,New Zealand,645,446,393,189,334,936,302,472,263,isThere
1998,NER,Nigeria,403,1653,293,1438,121,1267,195,777,1425,isThere
1998,PER,Peru,252,759,189,625,225,763,231,293,607,isThere
1998,POL,Poland,371,184,160,,127,940,655,,561,isThere
1998,RUS,Russia,567,1850,435,192,121,1417,1121,844,694,isThere
1998,ZAF,South Africa,917,1717,657,1794,311,2055,843,873,1464,isThere
1998,ZWE,Zimbabwe,,,,,,,,,,isThere
1998,ESP,Spain,300,779,173,263,263,915,231,257,530,isThere
1998,SWE,Sweden,612,67,239,48,395,912,425,319,160,isThere
1998,TUR,Turkey,312,1322,374,970,422,1118,620,357,681,isThere
1998,UKR,Ukraine,946,2341,528,574,314,1720,1374,1184,1075,isThere
1998,EGY,Egypt,,,,,,,,,,isThere
1998,USA,United States,698,809,555,832,409,1157,412,640,580,isThere
2004,ARG,Argentina,465,728,163,557,301,901,191,284,475,isThere
2004,AUS,Australia,,,,,,,,,,isThere
2004,ARM,Armenia,,,,,,,,,,isThere
2004,BRA,Brazil,,,,,,,,,,isThere
