cc,Country,Year,Independence,Saving,Unselfishness,Religious,Imagination,Respect,Determination,HardWork,Obedience
saarg,Argentina,1993,433,146,48,282,312,778,291,532,321
sabra,Brazil,1993,473,515,504,827,220,1167,460,917,736
aschn,China,1993,840,556,309,12,267,617,450,646,85
asind,India,1993,741,556,790,720,561,1479,689,1673,1397
asjpn,Japan,1993,652,407,445,71,243,602,595,309,102
askor,South Korea,1993,680,666,132,236,78,693,389,804,226
namex,Mexico,1993,724,508,168,617,473,985,568,356,690
afnga,Nigeria,1993,164,84,173,739,63,751,212,816,708
eurus,Russia,1993,572,1194,470,157,222,1376,778,1815,507
afzaf,South Africa,1993,442,470,544,1353,213,1676,765,817,1145
euesp,Spain,1993,556,251,193,335,503,1061,338,769,631
astur,Turkey,1993,198,373,286,455,240,712,209,747,323
