cc,Countries,Year,Independence,Saving,Unselfishness,Religious,Imagination,Respect,Determination,HardWork,Obedience
saarg,Argentina,2014,454,138,435,239,323,599,259,419,364
ocaus,Australia,2014,960,454,727,224,587,1275,743,873,416
asarm,Armenia,2014,308,313,265,419,67,620,361,901,267
sabra,Brazil,2014,558,395,468,740,362,954,420,953,765
aschn,China,2014,1604,1165,672,26,390,1200,598,1732,172
sacol,Colombia,2014,551,445,692,912,314,1306,368,205,1004
ascyp,Cyprus,2014,431,306,360,374,234,697,410,408,372
euest,Estonia,2014,835,1181,652,288,565,1295,1064,1341,962
eudeu,Germany,2014,1503,779,122,247,604,1365,1220,367,257
afgha,Ghana,2014,446,378,382,1096,187,1026,713,1327,1145
asind,India,2014,3665,3496,3308,3388,2821,3640,3454,3859,3666
asjpn,Japan,2014,1654,1167,1101,107,773,1578,1656,858,121
asjor,Jordan,2014,523,335,438,957,177,918,329,474,674
askor,South Korea,2014,694,781,126,299,174,490,654,772,104
namex,Mexico,2014,770,691,869,706,477,1558,539,761,1091
afmar,Morocco,2014,516,285,304,931,287,679,231,805,351
eunld,Netherlands,2014,1154,903,436,265,381,1636,705,596,487
ocnzl,New Zealand,2014,450,281,308,134,305,699,408,422,203
afnga,Nigeria,2014,684,335,557,1279,265,1052,649,1372,1105
saper,Peru,2014,403,287,467,509,202,817,284,200,633
eupol,Poland,2014,419,479,146,382,162,798,187,173,329
eurus,Russia,2014,946,1259,565,347,413,1588,1136,2112,869
afzaf,South Africa,2014,2241,1074,981,1564,991,1854,1247,2478,1314
afzwe,Zimbabwe,2014,586,376,443,894,200,957,741,1140,1050
euesp,Spain,2014,512,352,417,126,295,881,446,792,373
euswe,Sweden,2014,848,465,366,53,564,1049,405,167,147
astur,Turkey,2014,561,633,445,637,453,986,610,1156,545
euukr,Ukraine,2014,643,677,298,334,196,886,591,1287,635
afegy,Egypt,2014,1222,343,445,1270,94,949,271,768,641
nausa,United States,2014,1197,705,729,961,680,1603,797,1482,624
